"column_label","ran.hdr.name","piPless.minus.piMalle.min"
"8","ran8.hdr.5",-0.0021564
"8","ran8.hdr.50",-0.000734200000000001
"8","ran8.hdr.51",-0.0011755
"8","ran8.hdr.52",-0.0028743
"8","ran8.hdr.53",-0.00030222
"8","ran8.hdr.54",-0.0022805
"8","ran8.hdr.55",-0.0024536
"8","ran8.hdr.56",-0.001903
"8","ran8.hdr.57",-0.000706700000000001
"8","ran8.hdr.58",-0.00080104
"8","ran8.hdr.6",-0.0016597
"8","ran8.hdr.7",-0.0013278
"8","ran8.hdr.8",-0.0040163
"8","ran8.hdr.9",-0.0012648
"9","ran9.hdr.1",-0.00152136
"9","ran9.hdr.10",-0.0021198
"9","ran9.hdr.11",-0.000494099999999997
"9","ran9.hdr.12",-0.00117941
"9","ran9.hdr.13",-0.0011767
"9","ran9.hdr.14",-0.00219311
"9","ran9.hdr.15",-0.0023008
"9","ran9.hdr.16",-0.000942799999999997
"9","ran9.hdr.17",-0.0029998
"9","ran9.hdr.18",-0.0016162
"9","ran9.hdr.19",-0.0020766
"9","ran9.hdr.2",-0.0016738
"9","ran9.hdr.20",-0.00128
"9","ran9.hdr.21",-0.0016487
"9","ran9.hdr.22",-0.00330596
"9","ran9.hdr.23",-0.0015023
"9","ran9.hdr.24",-0.0012586
"9","ran9.hdr.25",-0.0044266
"9","ran9.hdr.26",-0.0023754
"9","ran9.hdr.27",-0.0010566
"9","ran9.hdr.28",-0.0034702
"9","ran9.hdr.29",-0.00171268
"9","ran9.hdr.3",-0.00194349
"9","ran9.hdr.30",-0.0014688
"9","ran9.hdr.31",-0.002261
"9","ran9.hdr.32",-0.0027325
"9","ran9.hdr.33",-0.0028057
"9","ran9.hdr.34",-0.0013791
"9","ran9.hdr.35",-0.0004457
"9","ran9.hdr.36",-0.0019133
"9","ran9.hdr.37",-0.0022584
"9","ran9.hdr.38",-0.000700900000000001
"9","ran9.hdr.39",-0.00110191
"9","ran9.hdr.4",-0.0016597
"9","ran9.hdr.40",-0.001656
"9","ran9.hdr.41",-0.0018217
"9","ran9.hdr.42",-0.0003388
"9","ran9.hdr.43",-0.000926799999999998
"9","ran9.hdr.44",-0.000564200000000001
"9","ran9.hdr.45",-0.0021742
"9","ran9.hdr.46",-0.000893700000000002
"9","ran9.hdr.47",-0.0028743
