P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
eraChighE	eraEhighE	eraEvlowE	0.00526564	3.58771	0.000166798	0.165528	45426.3	45167.3	44694.1
eraEhighE	eraChighE	eraEvlowW	0.00537759	2.86257	0.00210109	0.0109719	64593.6	47342	46835.6
eraEhighE	eraChighE	hermathena	0.00149489	0.649816	0.257906	0.00118891	78311	27476.8	27394.8
eraChighE	eraEhighE	himHE	0.00117245	0.84589	0.198807	0.00163273	48203.4	41161.9	41065.5
eraChighE	eraEhighE	hortense	0.00105203	0.421373	0.336741	0.000803589	84105.1	17378.6	17342.1
eraChighE	eraEhighE	telhighE	0.0014145	0.579479	0.281133	0.00119731	91883.1	19416.9	19362
eraEvlowE	eraChighE	eraEhighW	0.0103733	1.72423	0.042333	0.0210084	64307.9	47750.9	46770.4
eraEhighW	eraEvlowW	eraChighE	0.0010084	1.47711	0.0698229	0.00277306	78804.7	35357.7	35286.5
eraEhighW	eraChighE	hermathena	0.0117576	3.1036	0.00095592	0.0115036	69185.7	34278.5	33481.8
himHE	eraChighE	eraEhighW	0.0191304	6.64386	1.52788e-11	0.0402256	58733.8	48765.3	46934.5
eraChighE	eraEhighW	hortense	0.0438238	9.94287	nan	0.0419082	74203.3	22492.1	20603.5
eraChighE	eraEhighW	telhighE	0.0359201	8.24908	7.97973e-17	0.0379071	81121.3	24845.9	23122.8
eraEvlowE	eraChighE	eraEvlowW	0.0103972	1.68131	0.0463512	0.0211388	64252	47752.6	46769.8
eraEvlowE	eraChighE	hermathena	0.0018154	0.686855	0.246087	0.00144819	77753.6	27570.6	27470.7
eraEvlowE	eraChighE	himHE	0.0066316	0.846951	0.198511	0.00918448	47983.4	41572.6	41024.9
eraChighE	eraEvlowE	hortense	0.00229584	1.34191	0.0898123	0.00175837	83534.9	17447.3	17367.4
eraChighE	eraEvlowE	telhighE	0.00129925	0.529483	0.298235	0.00110034	91253.1	19429.9	19379.4
eraEvlowW	eraChighE	hermathena	0.012071	3.03918	0.00118611	0.011823	69292.3	34304.9	33486.6
himHE	eraChighE	eraEvlowW	0.019844	6.64568	1.50911e-11	0.0417559	58705.7	48799.1	46900
eraChighE	eraEvlowW	hortense	0.0424566	8.95175	1.6263e-19	0.0405619	74132.9	22429.9	20602.9
eraChighE	eraEvlowW	telhighE	0.0362023	8.68869	1.84314e-18	0.038223	81058.1	24825.6	23090.9
eraChighE	himHE	hermathena	0.00643425	1.84645	0.0324135	0.00529967	70970	27794.3	27438.9
eraChighE	hermathena	hortense	0.0356554	5.28537	6.27259e-08	0.0310755	37185.7	18543.5	17266.7
eraChighE	hermathena	telhighE	0.0380494	6.82638	4.35422e-12	0.036631	40774	20497.2	18994.6
eraChighE	himHE	hortense	0.0203941	5.24973	7.61624e-08	0.0159307	76925.9	17636.2	16931.2
eraChighE	himHE	telhighE	0.0211792	5.80436	3.23071e-09	0.0184367	83849.4	19781.9	18961.3
telhighE	hortense	eraChighE	0.0154689	2.78641	0.00266474	0.00559871	26259.2	12381.9	12004.7
eraChighW	eraCvlowW	eraCvlowE	0.0104422	4.94264	3.85359e-07	0.0415573	74962.2	39489	38672.8
eraCvlowE	eraEhighE	eraChighW	0.00778581	3.12682	0.000883526	0.0170666	63651.7	47455.7	46722.5
eraEhighW	eraChighW	eraCvlowE	0.0134437	8.96546	1.6263e-19	0.0499478	75996.3	39101.3	38063.9
eraCvlowE	eraEvlowE	eraChighW	0.00217167	0.623659	0.266426	0.00474692	63563.8	47206.4	47001.8
eraEvlowW	eraChighW	eraCvlowE	0.0129553	8.8159	5.96311e-19	0.0483861	76015.6	39049.9	38051.1
eraChighW	eraCvlowE	hermathena	0.0140468	4.50148	3.37414e-06	0.0136073	68902.6	34127.6	33182.1
himHE	eraCvlowE	eraChighW	0.0128202	3.0274	0.00123333	0.0287621	58144	48009.3	46793.9
eraCvlowE	eraChighW	hortense	0.0354085	10.6859	nan	0.0334466	74260.8	22120.9	20607.9
eraCvlowE	eraChighW	telhighE	0.0281811	8.99703	1.0842e-19	0.0294008	81111	24434.7	23095.3
eraChighW	eraCvlowW	eraEhighE	0.0100009	5.65119	7.96712e-09	0.0388317	74286.5	39567.6	38784
eraCvlowW	eraEhighW	eraChighW	0.00848249	2.64956	0.00402986	0.0974439	38070.8	37961.8	37323.2
eraChighW	eraCvlowW	eraEvlowE	0.0102316	4.89508	4.9132e-07	0.0412355	74652.5	39408.6	38610.3
eraCvlowW	eraEvlowW	eraChighW	0.00937508	2.66364	0.003865	0.10663	38069.7	37993.2	37287.4
eraCvlowW	eraChighW	hermathena	0.00171486	0.770448	0.220517	0.00120345	91023.8	24359.1	24275.7
eraChighW	eraCvlowW	himHE	0.0048576	2.18768	0.0143466	0.00514417	72516.4	37165.1	36805.8
eraCvlowW	eraChighW	hortense	0.00366363	1.57022	0.058182	0.00259012	93647.2	15476.3	15363.3
eraCvlowW	eraChighW	telhighE	0.00455028	2.10257	0.0177517	0.00354933	102514	17297.6	17140.9
eraEhighW	eraChighW	eraEhighE	0.0126338	9.16812	nan	0.0461997	75289.1	39175.8	38198.2
eraEvlowE	eraEhighE	eraChighW	0.00557519	0.951791	0.170601	0.0122237	63805.8	47146	46623.2
eraEvlowW	eraChighW	eraEhighE	0.0121513	9.94626	nan	0.0448354	75295.5	39114.9	38175.7
eraChighW	eraEhighE	hermathena	0.0112852	3.34189	0.000416044	0.0108945	69487.4	33907.1	33150.3
himHE	eraEhighE	eraChighW	0.0201275	6.92692	2.15048e-12	0.0451637	58088	48426.2	46515.3
eraEhighE	eraChighW	hortense	0.0366898	10.4503	nan	0.0345648	74768.6	22108.4	20543.5
eraEhighE	eraChighW	telhighE	0.0283637	7.66869	8.68842e-15	0.0295736	81709.3	24403.8	23057.6
eraEhighW	eraChighW	eraEvlowE	0.0121403	7.99588	6.43257e-16	0.046095	75659.4	39006.4	38070.6
eraEhighW	eraEvlowW	eraChighW	0.00136956	1.52003	0.0642517	0.0156585	41043.7	34188	34094.4
eraChighW	eraEhighW	hermathena	0.000606301	0.247027	0.402444	0.000419788	91031.7	23950.3	23921.3
eraEhighW	eraChighW	himHE	0.00562403	3.37733	0.000365968	0.00587076	73136.6	36796.4	36384.8
eraChighW	eraEhighW	hortense	0.0100876	5.60574	1.03684e-08	0.00703683	93572.8	15293.1	14987.7
